strain,paralog,hotspot,Mutated_seq,compound,Replicate,Timepoint,Nb_gen
BY4741,FKS1,HS1,FKS1-HS1,none,1,T2,4.053158096
BY4741,FKS1,HS1,FKS1-HS1,none,2,T2,4.004255626
BY4741,FKS1,HS1,FKS1-HS1,none,3,T2,3.513477522
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,1,T2,3.82497747490789
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,2,T2,3.8842625972714
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,3,T2,3.87387848363504
BY4741,FKS1,HS1,FKS1-HS1,micafungin,1,T2,3.542403653
BY4741,FKS1,HS1,FKS1-HS1,micafungin,2,T2,3.51654255633767
BY4741,FKS1,HS1,FKS1-HS1,micafungin,3,T2,3.53397509547346
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,1,T2,3.3358839995118
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,2,T2,3.48466902313855
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,3,T2,3.58374424274284
BY4741,FKS1,HS2,FKS1-HS2,none,1,T2,2.9333802359397
BY4741,FKS1,HS2,FKS1-HS2,none,2,T2,2.88474702317054
BY4741,FKS1,HS2,FKS1-HS2,none,3,T2,2.69931736034497
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,1,T2,1.59566309382276
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,2,T2,1.74081470965767
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,3,T2,1.87895735981521
BY4741,FKS1,HS2,FKS1-HS2,micafungin,1,T2,1.79729328740938
BY4741,FKS1,HS2,FKS1-HS2,micafungin,2,T2,1.73416809679082
BY4741,FKS1,HS2,FKS1-HS2,micafungin,3,T2,1.80871482809453
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,1,T2,2.26090457845237
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,2,T2,1.9319941387435
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,3,T2,1.87336644491042
BY4741,FKS2,HS1,FKS2-HS1,none,1,T2,4.15039010133513
BY4741,FKS2,HS1,FKS2-HS1,none,2,T2,3.5123850933582
BY4741,FKS2,HS1,FKS2-HS1,none,3,T2,3.97074613201222
BY4741,FKS2,HS2,FKS2-HS2,none,1,T2,4.02054433539366
BY4741,FKS2,HS2,FKS2-HS2,none,2,T2,4.0241058743073
BY4741,FKS2,HS2,FKS2-HS2,none,3,T2,3.9754191676761
R1158,FKS1,HS1,FKS1-HS1,none,1,T2,4.43889088247243
R1158,FKS1,HS1,FKS1-HS1,none,2,T2,4.53320135236974
R1158,FKS1,HS1,FKS1-HS1,none,3,T2,4.50789073650894
R1158,FKS1,HS1,FKS1-HS1,dox,1,T2,4.52547804009219
R1158,FKS1,HS1,FKS1-HS1,dox,2,T2,4.65580426543234
R1158,FKS1,HS1,FKS1-HS1,dox,3,T2,4.51268680506271
R1158,FKS1,HS1,FKS1-HS1,caspofungin,1,T2,4.36189040092391
R1158,FKS1,HS1,FKS1-HS1,caspofungin,2,T2,4.23689150739825
R1158,FKS1,HS1,FKS1-HS1,caspofungin,3,T2,4.21333053224096
R1158,FKS1,HS1,FKS1-HS1,micafungin,1,T2,3.95188806999459
R1158,FKS1,HS1,FKS1-HS1,micafungin,2,T2,3.98775087448887
R1158,FKS1,HS1,FKS1-HS1,micafungin,3,T2,3.93373344287815
