strain,paralog,hotspot,Mutated_seq,compound,Replicate,Timepoint,Nb_gen
BY4741,FKS1,HS1,FKS1-HS1,none,1,T2,5.84747108477437
BY4741,FKS1,HS1,FKS1-HS1,none,2,T2,5.77691973476025
BY4741,FKS1,HS1,FKS1-HS1,none,3,T2,5.06887659702809
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,1,T2,5.5182760345616
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,2,T2,5.60380638659393
BY4741,FKS1,HS1,FKS1-HS1,caspofungin,3,T2,5.58882527734674
BY4741,FKS1,HS1,FKS1-HS1,micafungin,1,T2,5.11060818301004
BY4741,FKS1,HS1,FKS1-HS1,micafungin,2,T2,5.07329850710336
BY4741,FKS1,HS1,FKS1-HS1,micafungin,3,T2,5.09844834486466
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,1,T2,4.81266330307652
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,2,T2,5.02731471882137
BY4741,FKS1,HS1,FKS1-HS1,anidulafungin,3,T2,5.17025004681947
BY4741,FKS1,HS2,FKS1-HS2,none,1,T2,4.2319731194319
BY4741,FKS1,HS2,FKS1-HS2,none,2,T2,4.16181022454734
BY4741,FKS1,HS2,FKS1-HS2,none,3,T2,3.89429176955518
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,1,T2,2.30205523238764
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,2,T2,2.51146474872968
BY4741,FKS1,HS2,FKS1-HS2,caspofungin,3,T2,2.71076246504723
BY4741,FKS1,HS2,FKS1-HS2,micafungin,1,T2,2.59294611276854
BY4741,FKS1,HS2,FKS1-HS2,micafungin,2,T2,2.50187571330797
BY4741,FKS1,HS2,FKS1-HS2,micafungin,3,T2,2.6094239128743
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,1,T2,3.26179582325639
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,2,T2,2.78727836299179
BY4741,FKS1,HS2,FKS1-HS2,anidulafungin,3,T2,2.70269647984005
BY4741,FKS2,HS1,FKS2-HS1,none,1,T2,5.98774721695084
BY4741,FKS2,HS1,FKS2-HS1,none,2,T2,5.06730055588019
BY4741,FKS2,HS1,FKS2-HS1,none,3,T2,5.72857575328306
BY4741,FKS2,HS2,FKS2-HS2,none,1,T2,5.80041937434664
BY4741,FKS2,HS2,FKS2-HS2,none,2,T2,5.80555758887529
BY4741,FKS2,HS2,FKS2-HS2,none,3,T2,5.73531751866124
R1158,FKS1,HS1,FKS1-HS1,none,1,T2,6.40396586319021
R1158,FKS1,HS1,FKS1-HS1,none,2,T2,6.54002711041496
R1158,FKS1,HS1,FKS1-HS1,none,3,T2,6.50351161043074
R1158,FKS1,HS1,FKS1-HS1,dox,1,T2,6.52888472609291
R1158,FKS1,HS1,FKS1-HS1,dox,2,T2,6.71690572508892
R1158,FKS1,HS1,FKS1-HS1,dox,3,T2,6.51043087474904
R1158,FKS1,HS1,FKS1-HS1,caspofungin,1,T2,6.2928776503141
R1158,FKS1,HS1,FKS1-HS1,caspofungin,2,T2,6.11254236650801
R1158,FKS1,HS1,FKS1-HS1,caspofungin,3,T2,6.07855106449009
R1158,FKS1,HS1,FKS1-HS1,micafungin,1,T2,5.70136932072945
R1158,FKS1,HS1,FKS1-HS1,micafungin,2,T2,5.75310841092571
R1158,FKS1,HS1,FKS1-HS1,micafungin,3,T2,5.67517773021937
R1158,FKS1,HS1,FKS1-HS1,anidulafungin,1,T2,5.54516247635218
R1158,FKS1,HS1,FKS1-HS1,anidulafungin,2,T2,5.53474222049241
R1158,FKS1,HS1,FKS1-HS1,anidulafungin,3,T2,5.48527206989734
R1158,FKS1,HS2,FKS1-HS2,none,1,T2,6.56265547007777
R1158,FKS1,HS2,FKS1-HS2,none,2,T2,6.55034111055263
R1158,FKS1,HS2,FKS1-HS2,none,3,T2,6.39335397369587
R1158,FKS1,HS2,FKS1-HS2,dox,1,T2,6.51550205186148
R1158,FKS1,HS2,FKS1-HS2,dox,2,T2,6.54963656577605
R1158,FKS1,HS2,FKS1-HS2,dox,3,T2,6.53844038727556
R1158,FKS1,HS2,FKS1-HS2,caspofungin,1,T2,6.42857893267137
R1158,FKS1,HS2,FKS1-HS2,caspofungin,2,T2,6.30078554755493
R1158,FKS1,HS2,FKS1-HS2,caspofungin,3,T2,6.22755219338811
R1158,FKS1,HS2,FKS1-HS2,micafungin,1,T2,6.17052872621383
R1158,FKS1,HS2,FKS1-HS2,micafungin,2,T2,6.15891975148652
R1158,FKS1,HS2,FKS1-HS2,micafungin,3,T2,6.01209911898076
R1158,FKS1,HS2,FKS1-HS2,anidulafungin,1,T2,6.1961448427882
R1158,FKS1,HS2,FKS1-HS2,anidulafungin,2,T2,6.30068942484711
R1158,FKS1,HS2,FKS1-HS2,anidulafungin,3,T2,6.15995045603571
R1158,FKS2,HS1,FKS2-HS1,none,1,T2,6.51442474780401
R1158,FKS2,HS1,FKS2-HS1,none,2,T2,6.53186303043952
R1158,FKS2,HS1,FKS2-HS1,none,3,T2,6.90201628392757
R1158,FKS2,HS1,FKS2-HS1,dox,1,T2,5.60197046683929
R1158,FKS2,HS1,FKS2-HS1,dox,2,T2,5.85997802830474
R1158,FKS2,HS1,FKS2-HS1,dox,3,T2,6.00927010338606
R1158,FKS2,HS1,FKS2-HS1,caspofungin,1,T2,5.80771862791869
R1158,FKS2,HS1,FKS2-HS1,caspofungin,2,T2,5.73115884769856
R1158,FKS2,HS1,FKS2-HS1,caspofungin,3,T2,5.87438902643976
R1158,FKS2,HS1,FKS2-HS1,micafungin,1,T2,5.77400008685476
R1158,FKS2,HS1,FKS2-HS1,micafungin,2,T2,6.0294228859434
R1158,FKS2,HS1,FKS2-HS1,micafungin,3,T2,5.98457937902242
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,1,T2,5.15681693911481
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,2,T2,5.26528036399146
R1158,FKS2,HS1,FKS2-HS1,anidulafungin,3,T2,5.43775113729962
R1158,FKS2,HS2,FKS2-HS2,none,1,T2,6.58501741975364
R1158,FKS2,HS2,FKS2-HS2,none,2,T2,6.54410055984175
R1158,FKS2,HS2,FKS2-HS2,none,3,T2,6.75758277593885
