y_test,y_pred
resistant,resistant
sensitive,resistant
resistant,resistant
resistant,resistant
sensitive,sensitive
resistant,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,sensitive
resistant,sensitive
resistant,resistant
resistant,resistant
sensitive,sensitive
sensitive,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
sensitive,sensitive
sensitive,sensitive
sensitive,sensitive
resistant,resistant
sensitive,resistant
resistant,sensitive
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
resistant,resistant
