,AF,CF,MF,ctrl,max_s
0,False,False,False,False,0.1346640133350888
1,False,False,False,False,-0.0154738634958182
2,False,False,False,False,0.0860969073667222
3,False,False,False,False,0.101489318619752
4,True,True,False,False,1.783286230645699
5,True,True,True,False,0.4964528289691408
6,False,False,False,False,0.0546371343720119
7,True,True,False,False,1.2913602162456153
8,True,False,False,False,0.286752401791654
9,False,False,False,False,0.0042451169219343
10,False,False,False,False,0.1387339872375113
11,True,True,True,False,1.590215887677605
12,False,False,False,False,0.0992264689461657
13,True,True,True,False,1.5980750755131972
14,False,False,False,False,-0.0022452621991371
15,False,False,False,False,0.0957689151150658
16,False,False,False,False,0.004024392395262
17,False,False,False,False,0.0282940792982957
18,False,False,False,False,0.0581397697768384
19,False,False,False,False,0.0006893342645753
20,False,False,False,False,0.1145047733624748
21,True,True,True,False,2.843338915146385
22,False,False,False,False,-0.0013599993414814
23,False,False,False,False,0.1683580352556998
24,False,False,False,False,-0.1442388146777124
25,False,False,False,False,0.0416044336029482
26,False,False,False,False,0.1839371594023223
27,False,False,False,False,0.1597671449648218
28,False,False,False,False,0.0088168671969706
29,False,False,False,False,0.1044739501901639
30,True,False,False,False,0.0092845565885351
31,False,False,False,False,0.1007416613839317
32,False,False,False,False,0.0522073563863313
33,True,False,False,False,0.0477498572170133
34,False,False,False,False,0.0758271300297627
35,False,False,False,False,0.1001444009202609
36,False,False,False,False,0.19002819773777
37,True,True,True,False,2.5701533269548644
38,True,True,True,False,3.131612154197408
39,True,True,True,False,2.7880910576438387
40,True,False,False,False,0.38645212382849
41,False,False,False,False,0.157527696417993
42,True,True,True,False,1.5562323780845906
43,True,True,True,False,2.904507904697951
44,True,True,True,False,2.409142439827796
45,True,True,False,False,1.641482084992354
46,True,True,True,False,2.884667873468101
47,False,False,False,False,0.1636831440311164
48,False,False,False,False,0.0782434375367793
49,False,False,False,False,0.0632540183496101
50,False,True,False,False,0.8008247534380037
51,False,False,False,False,0.0936849902230941
52,True,True,True,False,3.111354659916782
53,False,True,False,False,0.4380463695047496
54,False,True,False,False,0.8389316242584341
55,True,True,False,False,0.5853739376488933
56,True,True,True,False,2.3158149094774005
57,False,False,False,False,0.0432565468110484
58,True,True,True,False,3.066469466846409
59,False,False,False,False,0.1568057770087587
60,True,False,False,False,0.2822786460275748
61,False,False,False,False,0.0124083443628126
62,False,False,False,False,0.069398686229557
63,False,False,False,False,0.066804840984179
64,False,False,False,False,0.0105672890223636
65,False,False,False,False,0.1790055620748576
66,False,False,False,False,0.0667805225421536
67,False,False,False,False,0.0528701740239023
68,False,False,False,False,0.2023704816078969
69,True,False,True,False,1.979888933933462
70,False,True,False,False,1.888241509213901
71,False,True,False,False,1.927713660927807
72,False,False,False,False,0.1016066256680826
73,True,True,True,False,3.2150239319373224
74,False,False,False,False,0.0194094069571594
75,True,False,False,False,0.0380296720823387
76,True,True,False,False,1.7773522364072831
77,False,False,False,False,0.2475107536990389
78,False,False,False,False,0.1045473309234361
79,True,True,True,False,2.4763782945907646
80,True,False,True,False,1.918444198128832
81,False,False,False,False,0.0595770521643647
82,False,False,False,False,0.0889303789784301
83,True,True,True,False,2.2129480466452818
84,True,True,True,False,2.739457683480169
85,True,True,False,False,1.2814325846507033
86,True,True,True,False,2.7483674668472955
87,False,False,False,False,0.1532341571550058
88,False,False,False,False,0.1981778401207369
89,False,False,False,False,0.1588972825457869
90,False,False,False,False,0.0993075211517048
91,False,False,False,False,0.1450938943908582
92,False,False,False,False,0.0994968877087388
93,False,False,False,False,0.2842404394478505
94,True,False,False,False,0.3541778578243771
95,False,False,False,False,0.066873721075508
96,False,False,False,False,0.0570411486760804
97,False,False,False,False,0.0250071669992116
98,False,True,True,False,0.3910094150012577
99,False,False,False,False,0.0540118569684203
100,False,False,False,False,0.0198180908605987
101,False,False,False,False,0.1533584160425103
102,False,False,False,False,0.0470289879408627
103,True,False,False,False,0.3787803327988541
104,False,False,False,False,0.0674437021402482
105,False,False,False,False,0.0919870018242804
106,False,False,False,False,0.1662007238054982
