,AF,CF,dox,MF,ctrl,max_s
0,False,False,False,False,False,-0.0259199007716795
1,True,True,False,False,False,0.4038940732108996
2,False,True,False,False,False,0.4275818013423996
3,True,True,False,True,False,1.4157356724705508
4,False,True,False,True,False,0.5544710866926509
5,False,False,False,False,False,0.0004721839295172
6,True,True,False,True,False,0.5492265935203405
7,False,True,False,True,False,0.9687457742883676
8,True,True,False,True,False,2.054899347879629
9,False,False,False,True,False,0.2184227175732077
10,False,True,False,True,False,0.3184120016502288
11,False,False,False,True,False,0.3889980097631433
12,False,False,False,False,False,0.0008416882660279
13,False,False,False,False,False,0.005534528514875
14,True,False,False,False,False,1.690300951238744
15,False,False,False,False,False,0.0032528846719997
16,True,False,False,False,False,0.5610400550392955
17,False,False,False,False,False,0.1752215816650583
18,False,False,False,False,False,0.0064349692472214
19,False,False,False,True,False,0.1943898619082099
20,False,False,False,False,False,0.004961487308734
21,False,False,False,False,False,0.0001144253353861
22,False,False,False,False,False,0.0020135354198903
23,False,False,False,False,False,0.1318438244659415
24,False,False,False,False,False,-8.848405295782801e-05
25,False,False,False,False,False,-0.0002450680753532
26,False,False,False,False,False,0.0157702439184477
27,False,False,False,False,False,0.0466175193048577
28,False,False,False,False,False,0.0624126361787447
29,True,False,False,False,False,0.305158338794753
30,False,False,False,False,False,0.1986942319947535
31,False,False,False,False,False,0.2018964910785171
32,False,False,False,False,False,-0.0086369289014516
33,False,False,False,False,False,0.0520462349870471
34,False,False,False,False,False,-0.0172290441522627
35,False,False,False,False,False,0.1486201561563324
36,False,False,False,False,False,-0.0442939334701595
37,True,True,False,True,False,1.1716527434840454
38,True,True,False,True,False,0.478373607276725
39,False,True,False,True,False,1.2004599713803918
40,True,True,False,True,False,1.2829376562734938
41,False,False,False,False,False,-0.0012825789578677
42,False,False,False,False,False,0.0092703710037405
43,False,False,False,False,False,0.0611766053269106
44,False,False,False,False,False,-0.0001056184305737
45,True,True,False,True,False,1.7958773039120206
46,False,False,False,False,False,-0.0017847363168862
47,True,False,False,True,False,0.4712502098593975
48,False,False,False,False,False,0.046046075071438
49,False,True,False,True,False,0.6498725096342451
50,True,False,False,True,False,0.2780619441342173
51,True,False,False,False,False,0.3656388961169676
52,True,True,False,False,False,0.3113026960641738
53,True,True,False,True,False,1.5048245347999742
54,False,False,False,False,False,0.0997257188687192
55,False,False,False,False,False,0.1631595150404918
56,False,True,False,False,False,0.4084729162257464
57,True,True,False,True,False,1.8239216922091992
58,True,True,False,False,False,0.3713564575286703
59,False,True,False,False,False,0.2273790655819179
60,False,False,False,False,False,-0.0110997564144042
61,False,False,False,False,False,0.049783781012167
62,True,False,False,True,False,0.5064163624278655
63,False,False,False,False,False,0.0639440720464286
64,False,False,False,False,False,0.0612763942807388
65,False,False,False,False,False,0.0122793958194629
66,False,False,False,False,False,0.015179636004633
67,False,False,False,False,False,-0.0003632759635607
68,False,False,False,False,False,-0.0100097856802529
69,False,False,False,False,False,0.0009077581023012
70,False,False,False,False,False,0.0031040793956906
71,False,False,False,False,False,-0.015933926818014
72,False,True,False,True,False,1.4383600815758788
73,True,True,False,True,False,0.634325095040402
74,False,False,False,True,False,0.2266612494220581
75,False,False,False,False,False,0.0346146042841916
76,False,False,False,False,False,-0.0401656193905063
77,True,True,False,True,False,0.7346868093706641
78,True,False,False,True,False,1.4235031070289312
79,False,True,False,True,False,1.0863519544142464
80,False,True,False,True,False,1.0450010054398988
81,False,False,False,True,False,0.3602516650247555
82,True,True,False,True,False,1.6298562104569991
83,False,False,False,False,False,0.0004825906769994
84,True,True,False,True,False,0.4542677479304804
85,True,True,False,True,False,1.093256765232941
86,True,True,False,True,False,0.4755404903238108
87,False,True,False,True,False,1.4635369346994551
88,True,True,False,True,False,2.080795243616388
89,False,False,False,False,False,0.1354095095038319
90,False,False,False,False,False,-0.0031346520141232
91,True,True,False,True,False,1.2669650024398014
92,True,True,False,True,False,1.5713733300866286
93,False,False,False,False,False,0.0023322082679154
94,False,False,False,False,False,0.1057364886332358
95,True,True,False,True,False,1.348725179066716
96,False,False,False,True,False,0.4060023433862264
97,False,True,False,True,False,0.2473953230731903
98,True,True,False,True,False,2.359996306544735
99,True,True,False,True,False,1.5727498876987087
100,False,False,False,False,False,-0.0070139847096009
101,False,False,False,False,False,-0.0088363898948528
102,False,False,False,False,False,0.0237508749377651
103,False,False,False,False,False,-0.0018080170931171
104,False,False,False,False,False,0.0506659870145962
105,False,False,False,False,False,-0.0112865650549238
106,False,False,False,False,False,0.0712583738085586
107,True,True,False,True,False,1.2253180850741976
108,False,False,False,False,False,0.0157078738443139
109,False,False,False,False,False,-0.0132620141291412
110,False,False,False,False,False,-0.003677682523285
111,False,False,False,False,False,-0.0135451560962239
112,False,False,False,False,False,0.0009213597022475
113,False,False,False,False,False,-0.0127063879093584
114,False,False,False,False,False,0.0653350676861733
115,False,False,False,False,False,0.0750014057092803
116,False,False,False,False,False,0.0156008947837457
117,True,False,False,False,False,0.2459235511150164
118,False,False,False,False,False,-0.0043186627017583
