,Sample_name,Total_raw_reads,Trimming,Merging,Aggregating,Contain_Ns,Unexpected,OK
0,BY_FKS1-HS1_T0_2,264800,36136,0,3168,0,38956.0,186540.0
1,BY_FKS1-HS1_T0_3,225589,10173,0,2975,0,39092.0,173349.0
2,BY_FKS1-HS1_ani_T2_2,132183,1816,0,1591,0,32104.0,96672.0
3,BY_FKS1-HS1_ani_T2_3,242791,24799,0,5472,0,73672.0,138848.0
4,BY_FKS1-HS1_cas_T2_2,199073,3168,0,2198,0,50099.0,143608.0
5,BY_FKS1-HS1_cas_T2_3,128665,1662,0,1748,0,29455.0,95800.0
6,BY_FKS1-HS1_mic_T2_2,128903,1391,0,1603,0,36792.0,89117.0
7,BY_FKS1-HS1_mic_T2_3,283268,50993,0,5707,0,79457.0,147111.0
8,BY_FKS1-HS1_non_T2_2,141644,2037,0,2014,0,24367.0,113226.0
9,BY_FKS1-HS1_non_T2_3,288611,27437,0,7194,0,72592.0,181388.0
10,BY_FKS1-HS2_T0_1,328184,32559,0,3076,1,92086.0,200462.0
11,BY_FKS1-HS2_T0_2,291637,54050,0,3245,0,70476.0,163866.0
12,BY_FKS1-HS2_T0_3,251819,22626,0,2782,0,69060.0,157351.0
13,BY_FKS1-HS2_ani_T2_1,328593,11560,0,3085,0,36072.0,277876.0
14,BY_FKS1-HS2_ani_T2_2,295804,9442,0,2731,0,33559.0,250072.0
15,BY_FKS1-HS2_ani_T2_3,224533,11988,0,2219,0,26492.0,183834.0
16,BY_FKS1-HS2_cas_T2_1,296724,4290,0,1335,1,38022.0,253076.0
17,BY_FKS1-HS2_cas_T2_2,211283,3315,0,1117,0,25721.0,181130.0
18,BY_FKS1-HS2_cas_T2_3,259417,3560,0,1239,0,33135.0,221483.0
19,BY_FKS1-HS2_mic_T2_1,292261,4404,0,1096,0,14158.0,272603.0
20,BY_FKS1-HS2_mic_T2_2,322986,4661,0,1198,2,15806.0,301319.0
21,BY_FKS1-HS2_mic_T2_3,292252,3850,0,989,3,14294.0,273116.0
22,BY_FKS1-HS2_non_T2_1,130380,5816,0,1816,0,41662.0,81086.0
23,BY_FKS1-HS2_non_T2_2,328023,14773,0,2924,1,107138.0,203187.0
24,BY_FKS1-HS2_non_T2_3,195342,8700,0,1894,1,61463.0,123284.0
25,BY_FKS1-HS3_T0_2,414147,2079,0,1933,1,80815.0,329319.0
26,BY_FKS1-HS3_T0_3,397336,1867,0,1825,1,84807.0,308836.0
27,BY_FKS1-HS3_ani_T2_2,331009,110,0,1188,1,80081.0,249629.0
28,BY_FKS1-HS3_ani_T2_3,232824,57,0,967,2,61195.0,170603.0
29,BY_FKS1-HS3_cas_T2_2,135118,263,0,610,1,17358.0,116886.0
30,BY_FKS1-HS3_cas_T2_3,247435,93,0,983,2,33764.0,212593.0
31,BY_FKS1-HS3_mic_T2_2,245329,117,0,682,2,21534.0,222994.0
32,BY_FKS1-HS3_mic_T2_3,139944,44,0,500,0,13344.0,126056.0
33,BY_FKS1-HS3_non_T2_2,381912,904,0,1648,1,71586.0,307773.0
34,BY_FKS1-HS3_non_T2_3,359616,835,0,1507,0,74586.0,282688.0
35,BY_FKS2-HS1_T0_1,241777,25305,0,4834,0,45351.0,166287.0
36,BY_FKS2-HS1_T0_2,289851,47514,0,5615,0,49082.0,187640.0
37,BY_FKS2-HS1_T0_3,308143,22859,0,6053,0,55069.0,224162.0
38,BY_FKS2-HS2_T0_1,347553,10127,0,4883,0,104888.0,227655.0
39,BY_FKS2-HS2_T0_2,275134,9376,0,3847,0,42906.0,219005.0
40,BY_FKS2-HS2_T0_3,242822,6019,0,4429,0,69909.0,162465.0
41,R11_FKS1-HS1_T0_1,305847,15489,0,2943,0,54683.0,232732.0
42,R11_FKS1-HS1_T0_2,293479,15622,0,4446,0,62607.0,210804.0
43,R11_FKS1-HS1_T0_3,234581,7277,0,3990,0,52020.0,171294.0
