,Sample_name,Total_raw_reads,Trimming,Merging,Aggregating,Contain_Ns,Unexpected,OK
0,BY_FKS1-HS1_T0_2,264800,36136,0,3168,0,177440.0,48056.0
1,BY_FKS1-HS1_T0_3,225589,10173,0,2975,0,168733.0,43708.0
2,BY_FKS1-HS1_ani_T2_2,132183,1816,0,1591,0,101583.0,27193.0
3,BY_FKS1-HS1_ani_T2_3,242791,24799,0,5472,0,179908.0,32612.0
4,BY_FKS1-HS1_cas_T2_2,199073,3168,0,2198,0,151156.0,42551.0
5,BY_FKS1-HS1_cas_T2_3,128665,1662,0,1748,0,100658.0,24597.0
6,BY_FKS1-HS1_mic_T2_2,128903,1391,0,1603,0,94707.0,31202.0
7,BY_FKS1-HS1_mic_T2_3,283268,50993,0,5707,0,181821.0,44747.0
8,BY_FKS1-HS1_non_T2_2,141644,2037,0,2014,0,107286.0,30307.0
9,BY_FKS1-HS1_non_T2_3,288611,27437,0,7194,0,208263.0,45717.0
10,BY_FKS1-HS2_T0_1,328184,32559,0,3076,1,219406.0,73142.0
11,BY_FKS1-HS2_T0_2,291637,54050,0,3245,0,179945.0,54397.0
12,BY_FKS1-HS2_T0_3,251819,22626,0,2782,0,171871.0,54540.0
13,BY_FKS1-HS2_ani_T2_1,328593,11560,0,3085,0,303064.0,10884.0
14,BY_FKS1-HS2_ani_T2_2,295804,9442,0,2731,0,272568.0,11063.0
15,BY_FKS1-HS2_ani_T2_3,224533,11988,0,2219,0,202512.0,7814.0
16,BY_FKS1-HS2_cas_T2_1,296724,4290,0,1335,1,266485.0,24613.0
17,BY_FKS1-HS2_cas_T2_2,211283,3315,0,1117,0,189937.0,16914.0
18,BY_FKS1-HS2_cas_T2_3,259417,3560,0,1239,0,232400.0,22218.0
19,BY_FKS1-HS2_mic_T2_1,292261,4404,0,1096,0,280704.0,6057.0
20,BY_FKS1-HS2_mic_T2_2,322986,4661,0,1198,2,310826.0,6299.0
21,BY_FKS1-HS2_mic_T2_3,292252,3850,0,989,3,281893.0,5517.0
22,BY_FKS1-HS2_non_T2_1,130380,5816,0,1816,0,90638.0,32110.0
23,BY_FKS1-HS2_non_T2_2,328023,14773,0,2924,1,227676.0,82649.0
24,BY_FKS1-HS2_non_T2_3,195342,8700,0,1894,1,137392.0,47355.0
25,BY_FKS1-HS3_T0_2,414147,2079,0,1933,1,309986.0,100148.0
26,BY_FKS1-HS3_T0_3,397336,1867,0,1825,1,291242.0,102401.0
27,BY_FKS1-HS3_ani_T2_2,331009,110,0,1188,1,264501.0,65209.0
28,BY_FKS1-HS3_ani_T2_3,232824,57,0,967,2,180887.0,50911.0
29,BY_FKS1-HS3_cas_T2_2,135118,263,0,610,1,125455.0,8789.0
30,BY_FKS1-HS3_cas_T2_3,247435,93,0,983,2,228159.0,18198.0
31,BY_FKS1-HS3_mic_T2_2,245329,117,0,682,2,230894.0,13634.0
32,BY_FKS1-HS3_mic_T2_3,139944,44,0,500,0,130526.0,8874.0
33,BY_FKS1-HS3_non_T2_2,381912,904,0,1648,1,284024.0,95335.0
34,BY_FKS1-HS3_non_T2_3,359616,835,0,1507,0,259802.0,97472.0
35,BY_FKS2-HS1_T0_1,241777,25305,0,4834,0,173112.0,38526.0
36,BY_FKS2-HS1_T0_2,289851,47514,0,5615,0,199761.0,36961.0
37,BY_FKS2-HS1_T0_3,308143,22859,0,6053,0,231726.0,47505.0
38,BY_FKS2-HS2_T0_1,347553,10127,0,4883,0,242376.0,90167.0
39,BY_FKS2-HS2_T0_2,275134,9376,0,3847,0,102320.0,159591.0
40,BY_FKS2-HS2_T0_3,242822,6019,0,4429,0,175222.0,57152.0
